MB2013,AU2013
86105,502201
86200,502201
86300,502201
86400,502201
86500,502201
86600,502201
86700,502201
86800,502201
86900,502201
87000,502202
87100,502202
87200,502202
87300,502202
87400,502202
87500,502202
87600,502202
87700,502202
87800,502202
87900,502202
88000,502202
88100,502202
88200,502201
88301,502202
88302,502202
88400,502202
88501,502202
88502,502202
88600,502202
88700,502202
88801,502300
88802,502300
88900,502300
89000,502300
89100,502300
89201,502300
89202,502101
89203,502300
89300,502300
89400,502300
89500,502300
89601,502300
89602,502300
89700,502300
89800,502300
89900,502300
90000,502300
90100,502300
90200,502300
90300,502300
90400,502300
90500,502300
90600,502700
90700,502700
90800,502700
90900,502700
91000,502700
91100,502700
91200,502700
91300,502700
91400,502700
91500,502700
91600,502700
91700,502700
91800,502700
91900,502700
92000,502700
92100,502700
92200,502700
92300,502700
92400,502700
92500,502400
92600,502400
92700,502400
92800,502400
92900,502400
93000,502400
93100,502400
93200,502400
93300,502400
93400,502400
93500,502400
93600,502400
93700,502400
93800,502400
93900,502400
94000,502400
94100,502400
94200,502400
94300,502400
94400,502400
94500,502600
94600,502600
94700,502600
94800,502600
94900,502600
95000,502600
95100,502600
95200,502600
95301,502600
95302,502600
95401,502600
95402,502600
95403,502600
95500,502500
95601,502500
95602,503000
95700,502800
95800,502800
95900,502800
96000,502800
96100,502800
96201,502800
96202,502800
96300,502800
96400,502800
96500,502800
96600,502800
96700,502800
96800,502800
96900,502800
97000,502800
97100,502800
97200,502800
97300,502800
97400,502800
97500,503000
97600,503000
97700,503000
97800,503000
97900,503000
98000,503000
98100,503000
98200,503000
98300,503000
98400,503000
98500,503000
98600,503000
98700,503000
98800,503000
98900,503000
99000,503000
99100,503100
99200,503100
99300,503100
99400,503100
99500,503100
99600,503100
99700,503100
99800,503100
99902,503100
99903,503100
99904,503100
100000,503100
100100,503100
100200,503100
100300,503100
100400,503100
100500,503100
100600,503100
100700,503100
100800,503100
100901,503200
100902,503200
101001,503200
101002,503200
101100,503200
101200,503200
101301,503200
101302,503200
101303,503200
101304,503200
101401,503200
101402,503200
101501,503200
101502,503200
101503,503200
101601,503100
101602,503100
101700,503100
101801,503200
101802,503200
101803,503200
101900,503700
102000,503700
102100,503700
102201,503700
102203,503700
102204,503700
102205,503700
102206,503700
102300,503700
102400,502900
102500,502900
102601,502900
102602,502900
102701,502900
102702,502900
102800,502900
102901,502900
102902,502900
103000,502900
103100,502900
103200,502900
103300,502900
103400,502900
103500,502900
103600,502900
103700,502900
103800,502900
103900,503600
104000,503600
104100,503600
104200,503600
104301,503600
104302,503600
104400,503600
104500,503600
104600,503600
104700,503600
104800,503600
104900,503600
105000,503600
105100,503600
105200,503600
105300,503600
105400,503600
105500,503600
105600,503600
105700,503300
105800,503300
105900,503300
106000,503300
106100,503300
106201,503300
106202,503300
106203,503300
106300,503300
106400,503400
106500,503400
106600,503400
106700,503400
106801,503400
106802,503400
106803,503400
106901,503400
106902,503400
106903,503400
107000,503400
107100,503800
107200,503800
107300,503800
107400,503800
107500,503800
107602,503800
107603,503800
107604,503800
107700,503800
107801,503800
107802,503800
107803,503800
107901,503800
107903,503800
107904,503800
107905,503800
107906,503800
107907,503800
107908,503800
107909,503800
108000,503500
108100,503500
108200,503500
108300,503500
108401,503500
108402,503500
108403,503500
108404,503500
108500,503500
108600,503500
108700,503500
108800,503500
108900,503500
109000,503500
109101,503900
109102,503500
109103,503600
109104,503900
109200,503900
109300,503900
109401,502004
109402,504000
109403,504000
109500,504000
109600,504000
109700,504000
109800,504000
109900,504000
110001,504000
110002,504000
110003,504000
110101,504000
110102,504000
110200,504000
110300,504000
110400,504000
110501,504000
110502,504000
110601,504000
110602,504000
110603,504000
110700,504000
110801,504000
110802,504000
110900,504000
111001,504000
111002,504000
111003,504000
111004,504000
111005,504000
111006,504000
111100,504000
111200,504000
111300,504000
111400,504000
111501,504100
111502,504100
111600,504100
111700,504100
111800,504100
111900,504100
112000,504100
112100,504100
112201,504100
112202,504100
112300,504100
112400,504100
112500,504100
112600,504100
112700,504100
112800,504100
113000,504600
113100,504600
113201,504600
113202,504600
113300,504600
113400,504600
113500,504600
113600,504600
113700,504600
113800,504600
113900,504600
114000,504600
114101,504600
114102,504600
114201,504600
114202,504600
114301,504600
114302,504600
114400,504600
114500,504600
114600,504600
114700,504600
114800,504600
114900,504600
115000,504600
115100,504600
115200,504600
115300,504600
115400,504600
115500,504600
115600,504600
115700,504600
115800,504600
115900,504600
116000,504600
116100,504600
116200,504600
116300,504600
116400,504600
116500,504600
116600,504600
116700,504600
116800,504600
116900,504600
117000,504600
117100,504600
117200,504501
117301,504501
117302,504501
117303,504501
117304,504501
117400,504501
117500,504501
117600,504501
117700,504501
117800,504501
117900,504502
118000,504501
118100,504501
118200,504501
118300,504501
118400,504501
118500,504501
118600,504501
118700,504501
118800,504501
118900,504501
119000,504501
119100,504501
119200,504501
119300,504501
119400,504501
119500,504502
119600,504501
119700,504501
119800,504502
119900,504501
120000,504502
120100,504502
120200,504502
120300,504502
120400,504502
120500,504502
120600,504502
120700,504502
120800,504502
120900,504502
121000,504502
121100,504502
121200,504502
121300,504502
121400,504502
121500,504502
121600,504502
121700,504502
121800,504502
121900,504502
122000,504502
122100,504502
122200,504502
122300,504502
122400,504502
122500,504502
122600,504502
122700,504502
122800,504502
122900,504501
123000,504501
123100,504501
123200,504501
123300,504501
123400,504501
123500,504501
123600,504501
123700,504501
123801,504501
123802,504501
123901,504501
123902,504501
123903,504501
123904,504501
124000,504501
124100,504501
124200,504501
124300,504501
124400,504501
124500,504501
124600,504501
124700,504501
124800,504501
124900,504501
125000,504400
125100,504400
125200,504400
125300,504400
125400,504400
125500,504400
125600,504400
125700,505010
125800,505010
125900,505010
126000,505010
126100,505010
126200,505010
126300,505010
126400,505010
126500,505010
126600,505010
126700,505010
126800,504800
126900,504800
127000,504800
127100,504800
127200,504800
127300,504800
127400,505010
127500,505010
127600,505010
127700,505010
127800,505010
127900,505010
128000,505010
128100,505010
128200,505010
128300,505010
128400,505010
128500,505010
128600,505010
128701,505010
128702,505010
128800,505010
128900,505010
129000,505010
129100,505010
129200,505010
129300,505010
129400,505010
129500,505010
129600,505010
129700,505010
129800,505010
129900,505010
130000,505010
130100,505010
130200,505010
130300,505010
130400,505010
130500,505010
130600,505010
130700,505010
130801,505010
130802,505010
130803,505010
130901,505010
130902,505010
131000,501815
131100,504700
131200,504700
131300,504700
131400,504700
131500,504700
131600,504700
131700,504700
131801,504700
131802,504700
131803,504700
131900,504700
132000,505010
132100,505010
132201,505010
132202,504700
132300,505010
132401,505010
132402,505010
132403,505010
132501,505010
132502,504700
132600,505010
132700,505010
132801,505010
132802,505010
132803,505010
132804,505010
132805,505010
132806,505010
132807,505010
132900,505010
133000,505010
133100,505010
133200,505010
133300,505010
133411,505022
133412,505022
133413,505022
133414,505022
133415,505022
133416,505022
133417,505022
133418,505022
133419,505022
133420,505022
133421,505022
133422,505010
133423,505022
133424,505022
133425,505021
133426,505021
133427,505022
133428,505022
133429,505022
133430,505022
133431,505022
133432,505022
133433,505022
133434,505022
133435,505022
133436,505022
133437,505022
133438,505022
133439,505022
133440,505022
133441,505022
133442,505022
133443,505022
133444,505022
133445,505022
133446,505022
133447,505022
133448,505022
133449,505022
133450,505022
133451,505022
133452,505022
133453,505022
133501,505010
133502,505010
133503,505010
133504,505010
133505,505010
133506,505010
133600,505010
133703,505021
133704,505021
133705,505021
133706,505021
133707,505021
133708,505021
133709,505021
133710,505021
133711,505021
133801,505021
133802,505021
133900,505010
134000,505010
134100,505021
134201,504900
134202,505010
134301,504900
134302,505010
134400,504900
134500,504900
134600,504900
134700,505010
134800,505010
134901,505010
134902,505010
135001,505010
135002,505010
135003,505010
135100,505010
135201,506660
135202,505021
135300,506660
135400,506660
135500,506660
135600,506660
135700,506660
135800,506660
135900,506660
136000,506660
136101,506660
136102,506660
136201,506660
136202,506660
136203,506660
136204,506660
136205,506661
136301,506660
136302,506660
136303,506660
136400,506660
136500,506660
136600,506660
136700,506660
136800,505400
136900,505400
137000,505400
137100,505400
137200,506660
137300,506660
137400,506660
137501,506660
137502,506661
137601,506661
137701,506661
137702,506661
137703,506616
137704,506616
137705,506616
137706,506616
137707,506616
137708,506661
137800,506661
137901,506661
137902,506661
137903,506661
137904,506661
137905,506661
137906,506661
137907,506661
137908,506661
138002,506661
