Code,proportionToHere
78503,6.93E-06
78504,6.43E-06
78601,3.02E-05
78602,3.47E-06
78700,1.83E-05
78800,2.32E-05
78900,1.09E-05
79002,3.86E-05
79003,0
79006,7.42E-06
79007,9.38E-06
79009,9.87E-06
79011,8.40E-06
79012,5.94E-06
79013,5.45E-06
79014,5.94E-06
79015,5.45E-06
79016,6.43E-06
79017,4.95E-06
79101,1.48E-06
79102,6.93E-06
79201,3.96E-06
79202,1.29E-05
79203,1.48E-06
79301,9.38E-06
79302,1.19E-05
79303,7.42E-06
79304,5.45E-06
79305,8.89E-06
79402,5.74E-05
79403,5.94E-06
79404,7.91E-06
79405,7.91E-06
79406,1.04E-05
79407,1.09E-05
79500,4.95E-07
79601,1.48E-06
79603,2.18E-05
79605,4.85E-05
79606,2.27E-05
79701,3.27E-05
79703,2.18E-05
79704,2.23E-05
79802,8.45E-05
79803,0.000519108
79805,7.91E-06
79806,8.89E-06
79807,4.95E-06
79808,3.47E-06
79809,2.97E-06
79810,3.96E-06
79811,5.45E-06
79812,1.48E-06
79813,4.95E-06
79814,3.96E-06
79815,3.47E-06
79816,2.48E-06
79901,4.95E-07
79903,9.87E-07
79904,1.48E-06
80000,7.42E-06
80100,1.29E-05
80200,5.13E-05
80301,7.42E-06
80302,7.91E-06
80400,3.91E-05
80500,2.97E-05
80600,1.83E-05
80700,2.87E-05
80800,2.13E-05
80900,0.000109806
81000,3.32E-05
81100,5.36E-05
81200,1.88E-05
81300,2.03E-05
81401,5.45E-06
81402,1.98E-06
81403,4.95E-06
81404,7.42E-06
81405,5.45E-06
81406,1.98E-06
81407,3.13E-05
81408,1.74E-05
81501,3.47E-06
81502,4.45E-06
81503,9.87E-07
81504,4.95E-07
81505,9.87E-07
81506,3.47E-06
81507,3.96E-06
81508,1.48E-06
81509,1.98E-06
81510,1.48E-06
81511,4.95E-07
81512,9.87E-07
81513,0
81514,2.48E-06
81600,0
81700,9.87E-07
81801,3.96E-06
81805,0
81806,0
81807,0
81809,0
81810,0.000166052
81811,0
81900,2.03E-05
82001,2.18E-05
82002,1.53E-05
82100,2.37E-05
82200,1.83E-05
82300,1.58E-05
82400,2.53E-05
82500,1.48E-05
82601,1.63E-05
82602,8.40E-05
82701,8.89E-06
82703,2.67E-05
82704,2.27E-05
82801,3.47E-06
82803,7.42E-06
82804,8.89E-06
82900,4.45E-06
83001,3.07E-05
83002,1.98E-05
83100,1.34E-05
83200,2.87E-05
83300,2.18E-05
83400,8.89E-06
83500,2.37E-05
83600,1.63E-05
83701,6.93E-06
83702,7.91E-06
83801,2.97E-06
83802,5.45E-06
83803,8.89E-06
83901,3.37E-05
83903,3.76E-05
83904,2.92E-05
84000,1.83E-05
84100,2.03E-05
84200,2.92E-05
84300,1.39E-05
