Code,uPeSqKm,sdPeSqKm,EA_Name
841,0,0,1356773_5110002
842,0,0,1356773_5120002
843,0,0,1356773_5130002
844,0,0,1356773_5140002
845,0,0,1356773_5150002
846,0,0,1356773_5160002
847,0,0,1356773_5170002
848,0,0,1356773_5180002
849,0,0,1356825_5189925
850,0,0,1359491_5198230
851,0,0,1362305_4868482
852,0,0,1364928_4875439
853,0,0,1365434_4885002
854,0,0,1365434_4895002
855,0,0,1365434_4905002
856,0,0,1365434_4915002
857,0,0,1365434_4925002
858,0,0,1365434_4935002
859,0,0,1365434_4945002
860,0,0,1365434_4955002
861,0,0,1365434_4965002
862,0,0,1365434_4975002
863,0,0,1365434_4985002
864,0,0,1365434_4995002
865,0,0,1365434_5005002
866,0,0,1365434_5015002
867,0,0,1365434_5025002
868,0,0,1365434_5035002
869,0,0,1365434_5045002
870,0,0,1365434_5055002
871,0,0,1365434_5065002
872,0,0,1365434_5075002
873,0,0,1365434_5085002
874,0,0,1365434_5095002
875,0,0,1365434_5105002
876,0,0,1365434_5115002
877,0,0,1365434_5125002
878,0,0,1365434_5135002
879,0,0,1365434_5145002
880,0,0,1365434_5155002
881,0,0,1365434_5165002
882,0,0,1365434_5175002
883,0,0,1365434_5185002
884,0,0,1365434_5195002
885,0,0,1366493_5204012
886,0,0,1368252_5210045
887,0,0,1373112_4881370
888,0,0,1374094_4890002
889,0,0,1374094_4900002
890,0,0,1374094_4910002
891,0,0,1374094_4920002
892,0,0,1374094_4930002
893,0,0,1374094_4940002
894,0,0,1374094_4950002
895,0,0,1374094_4960002
896,0,0,1374094_4970002
897,0,0,1374094_4980002
898,0,0,1374094_4990002
899,0,0,1374094_5000002
900,0,0,1374094_5010002
901,0,0,1374094_5020002
902,0,0,1374094_5030002
903,0,0,1374094_5040002
904,0,0,1374094_5050002
905,0,0,1374094_5060002
906,0,0,1374094_5070002
907,0,0,1374094_5080002
908,0,0,1374094_5090002
909,0,0,1374094_5100002
910,0,0,1374094_5110002
911,0,0,1374094_5120002
912,0,0,1374094_5130002
913,0,0,1374094_5140002
914,0,0,1374094_5150002
915,0,0,1374094_5160002
916,0,0,1374094_5170002
917,0,0,1374094_5180002
918,0,0,1374094_5190002
919,0,0,1374094_5200002
920,0,0,1374310_5209823
921,0,0,1376535_5218636
922,0,0,1379998_4886559
923,0,0,1381205_4895359
924,0,0,1382754_4905002
925,0,0,1382754_4915002
926,0,0,1382754_4925002
927,0,0,1382754_4935002
928,0,0,1382754_4945002
929,0,0,1382754_4955002
930,0,0,1382754_4965002
931,0,0,1382754_4975002
932,0,0,1382754_4985002
933,0,0,1382754_4995002
934,0,0,1382754_5005002
935,0,0,1382754_5015002
936,0,0,1382754_5025002
937,0,0,1382754_5035002
938,0,0,1382754_5045002
939,0,0,1382754_5055002
940,0,0,1382754_5065002
941,0,0,1382754_5075002
942,0,0,1382754_5085002
943,0,0,1382754_5095002
944,0,0,1382754_5105002
945,0,0,1382754_5115002
946,0,0,1382754_5125002
947,0,0,1382754_5135002
948,0,0,1382754_5145002
949,0,0,1382754_5155002
950,0,0,1382754_5165002
951,0,0,1382754_5175002
952,0,0,1382754_5185002
953,0,0,1382754_5195002
954,0,0,1382754_5205002
955,0,0,1382754_5215002
956,0,0,1383725_5223066
957,0,0,1387660_4902962
958,0,0,1390909_4910769
959,0,0,1391414_4920002
960,0,0,1391414_4930002
961,0,0,1391414_4940002
962,0,0,1391414_4950002
963,0,0,1391414_4960002
964,0,0,1391414_4970002
965,0,0,1391414_4980002
966,0,0,1391414_4990002
967,0,0,1391414_5000002
968,0,0,1391414_5010002
969,0,0,1391414_5020002
970,0,0,1391414_5030002
971,0,0,1391414_5040002
972,0,0,1391414_5050002
973,0,0,1391414_5060002
974,0,0,1391414_5070002
975,0,0,1391414_5080002
976,0,0,1391414_5090002
977,0,0,1391414_5100002
978,0,0,1391414_5110002
979,0,0,1391414_5120002
980,0,0,1391414_5130002
981,0,0,1391414_5140002
982,0,0,1391414_5150002
983,0,0,1391414_5160002
984,0,0,1391414_5170002
985,0,0,1391414_5180002
986,0,0,1391414_5190002
987,0,0,1391414_5200002
988,0,0,1391414_5210002
989,0,0,1391414_5220002
990,0,0,1392164_5228984
