X,Y,OBJECTID,ATF_CODE,FACILITY,ADDRESS_1,ADDRESS_2,ADDRESS_3,ADDRESS_4,CITY,STATUS,CONTAINE_2,proportionToHere
1575641.913,5179191.844,4458,15877,Fermanagh Consultants NZ Ltd,"Unit 4, 35 Newtown Street",Christchurch,PO Box 24191,Eastgate,Christchurch,current 2009/10,4,1.1915410638098297e-06
1765987.842,5904658.36,4463,15884,NSC Auto Parts 2008 Ltd,33 Grayson Ave,Manukau Z1,PO Box 76-208,Manukau City,Auckland,current 2009/10,11,0.0002880453303660614
1924360.689,5608944.784,4464,15885,Delegats Wine Estate - Hastings,14 James Rochfort Place,Hastings,PO Box 91681,Auckland Mail Centre.,Hastings,current 2009/10,10,1.1915410638098297e-06
1767077.143,5908043.078,4465,15886,GCNZ Imports Ltd,Unit L 28 Lovegrove Cres,Otara Z1,PO Box 37306,Parnell Auckland,Auckland,current 2009/10,6,0.0002880453303660614
1564234.428,5179149.216,4466,15887,Alsynite NZ Ltd - CHC,18 Nga Mahi Road,"Sockburn, Christchurch","PO Box 6083, Upper Riccarton",Christchurch,Christchurch,current 2009/10,5,1.7572828390663113e-07
1755052.152,5929835.776,4467,15888,GJ Furniture Warehouse,Unit 7/ 18 Link Drive,Wairau Park Z3,3 Zara Court,Mairangi Bay,Auckland,current 2009/10,25,0.0002880453303660614
1748548.668,5918400.726,4468,15889,T.M.A Group of Companies Ltd,61-69 Patiki Road,Avondale Z2,PO BOX 19301,Avondale  1746,Auckland,current 2009/10,69,0.0002880453303660614
1795825.562,5820939.878,4469,15890,Red Stag Gates & Fences Ltd,8 De Leeuw Pl,Te Rapa Park,PO Box 5723,,Hamilton,current 2009/10,5,1.1915410638098297e-06
1760131.666,5909463.015,4470,15892,Dixie Cummings New Zealand Ltd,6 Rymer Place,Mangere Bridge Z1,PO Box 59-231,"Mangere Bridge, Auckland",Auckland,current 2009/10,241,1.1915410638098297e-06
1761140.994,5913626.392,4471,15893,Bargain Warehouse,38 Walls Road,Penrose Z1,38 Walls Road,Penrose,Auckland,current 2009/10,12,1.1915410638098297e-06
1758926,5904628,4472,15896,CMT Bond Ltd.,"Bay 11 Air Freight Centre, George Bolt Drive",Auckland International Airport Z1,PO Box 59 252,Mangere Bridge,Auckland,current 2009/10,6,0.0002880453303660614
1553362.278,5174583.574,4473,15900,Custommade Garage Doors,276 Larcombs Rd,"Weedons, RD5, Christchurch",276 Larcombs Road,"Weedons, RD5, Christchurch 7678",Christchurch,current 2009/10,4,1.7572828390663113e-07
1795800.702,5822099.85,4474,15901,Crestline Design / Modiche,17 Mckee St,Te Rapa,PO Box 14077,,Hamilton,current 2009/10,22,1.1915410638098297e-06
1752010,5931911,4475,15902,Waiwera Water Ltd,10-12 Tarndale Grove,Albany Z3,PO Box 102 151,North Shore Mail Centre,Auckland,current 2009/10,45,1.1915410638098297e-06
1761049.312,5913675.84,4476,15903,"Just Water - AKL, Burrett Ave",1 Burrett Avenue,Penrose Z1,Private Bag 92811,Penrose,Auckland,current 2009/10,9,0.0002880453303660614
1753844.86,5932150.9,4477,15904,Zepter International (NZ) Ltd,39/A3 Arrenway Drive,Albany Z3,PO Box 305505,Albany,Auckland,current 2009/10,1,1.1915410638098297e-06
1767923.983,5909141.626,4478,15905,Alchemis Ltd,2/28 Andromeda Cres,East Tamaki Z1,PO Box 204102,Greenmount Auckland,Auckland,current 2009/10,7,1.1915410638098297e-06
1768606.551,5909951.449,4479,15906,LJL Enterprises Ltd,8A 22 Harris Rd,East Tamaki Z1,PO Box 259298,Botany,Auckland,current 2009/10,8,1.1915410638098297e-06
1764495.997,5912691.09,4480,15907,UPM Rafflatac NZ Ltd,77c Carbine Rd,Mt Wellington Z1,PO Box 12125,Penrose Auckland,Auckland,current 2009/10,153,0.0002880453303660614
1745345.067,5919862.377,4481,15915,Invention Sanitary (HK) Co. Limited,Unit I/ 251 Lincoln Road,Henderson Z2,36 Erne Crescent,East Tamaki 2016,Auckland,current 2009/10,9,0.0002880453303660614
1760518.525,5433320.901,4482,15916,Rittal (NZ) Ltd,Unit 4 21- 29 Bell Road South,Gracefield,PO Box 30 453,Lower Hutt,Lower Hutt,current 2009/10,66,0.00030305714073883467
1560824.739,5176547.232,4483,15917,Maxwell Contract Warehousing (Sir James),17 Sir James Wattie Drive,"Hornby, Christchurch",PO Box 11075,Christchurch,Christchurch,current 2009/10,711,1.7572828390663113e-07
1562607.517,5179860.899,4484,15918,"Water Supply Products - CHC, Buchanans R",81 Buchanans Road,Christchurch,81 Buchanans Road,,Christchurch,current 2009/10,94,1.7572828390663113e-07
1758966.511,5435956.214,4486,15920,Banks Group Ltd,31 Marsden Street Alicetown,Lower Hutt,PO Box 30 215,Lower Hutt,Lower Hutt,current 2009/10,11,0.00030305714073883467
1560627.395,5177174.564,4487,15921,Compounding Specialists Ltd,12 Prairie Place,Christchurch,PO Box 16728,Christchurch,Christchurch,current 2009/10,10,1.7572828390663113e-07
1817525.494,5803336.084,4489,15923,Hilltop Contracting Ltd,139 Queen Street,Cambridge,139 Queen Street,Cambridge,Hamilton,current 2009/10,17,0.0005211217170594276
