Code,v0.0,v1.0,v10.0,v11.0,v12.0,v13.0,v2.0,v3.0,v4.0,v5.0,v6.0,v7.0,v8.0,v9.0
1501,0.004664374164902644,1.8903243776491616e-05,0.00043477449440961066,0.0013043234832288318,0.0,0.00020793562531655949,0.00017012915650519236,3.654626380457069e-05,0.0008474952044133144,0.009913488513195188,3.7806468811367145e-05,0.0009168070795188343,0.00017012915650519236,1.8903243776491616e-05
1502,0.004664374164902644,1.8903243776491616e-05,0.00043477449440961066,0.0013043234832288318,0.0,0.00020793562531655949,0.00017012915650519236,3.654626380457069e-05,0.0008474952044133144,0.009913488513195188,3.7806468811367145e-05,0.0009168070795188343,0.00017012915650519236,1.8903243776491616e-05
1503,0.004664374164902644,1.8903243776491616e-05,0.00043477449440961066,0.0013043234832288318,0.0,0.00020793562531655949,0.00017012915650519236,3.654626380457069e-05,0.0008474952044133144,0.009913488513195188,3.7806468811367145e-05,0.0009168070795188343,0.00017012915650519236,1.8903243776491616e-05
1504,0.004664374164902644,1.8903243776491616e-05,0.00043477449440961066,0.0013043234832288318,0.0,0.00020793562531655949,0.00017012915650519236,3.654626380457069e-05,0.0008474952044133144,0.009913488513195188,3.7806468811367145e-05,0.0009168070795188343,0.00017012915650519236,1.8903243776491616e-05
1505,0.004664374164902644,1.8903243776491616e-05,0.00043477449440961066,0.0013043234832288318,0.0,0.00020793562531655949,0.00017012915650519236,3.654626380457069e-05,0.0008474952044133144,0.009913488513195188,3.7806468811367145e-05,0.0009168070795188343,0.00017012915650519236,1.8903243776491616e-05
1506,0.004664374164902644,1.8903243776491616e-05,0.00043477449440961066,0.0013043234832288318,0.0,0.00020793562531655949,0.00017012915650519236,3.654626380457069e-05,0.0008474952044133144,0.009913488513195188,3.7806468811367145e-05,0.0009168070795188343,0.00017012915650519236,1.8903243776491616e-05
1507,0.005666384261643974,3.949241475227396e-06,0.002680957825120059,0.0002724975913121507,0.0,4.344164448107808e-05,3.5543165446097714e-05,0.002165003993927633,0.0009198890936877097,0.014773745581143903,7.898479034980368e-06,0.0002462185789023016,0.0002600206817196529,3.949241475227396e-06
1508,0.0012619405952497085,3.3359458311999595e-05,0.0,0.00015440662719322785,0.0,9.531263275537078e-07,8.578144317507334e-06,0.0,0.0,1.9062563398693971e-06,0.0003449897353421353,1.9062563398693971e-06,4.289072895706063e-05,0.0018338310534498586
1509,0.0016832596709712648,4.449704766881263e-05,0.0,0.00020595775226140981,0.0,1.2713428148292822e-06,1.144209516342109e-05,0.0,0.0,2.542690544637339e-06,0.0004601700829550998,2.542690544637339e-06,5.7210485647063e-05,0.00244608491656938
1510,0.001467036579639284,3.878118019570579e-05,0.0,0.00017950145282898046,0.0,1.1080324959843758e-06,9.97230103110991e-06,0.0,0.0,2.2160692755940148e-06,0.0004010589430692181,2.2160692755940148e-06,4.986151372280007e-05,0.0021318731217748322
1511,4.0779119361747744e-05,6.013682451559973e-05,5.634579524120348e-07,0.00022059313793822762,1.1269159048240695e-06,6.225858378837846e-06,5.8849678599793284e-06,7.51277269882713e-07,1.1832618714676689e-05,0.00011218378644032843,0.00048440805046754375,1.8086298103374897e-05,4.2947835514967136e-05,0.0008160587074958976
1512,4.853996059406493e-05,0.0002047577007835583,1.9412737588726873e-06,0.0007487550505455125,3.882547517745375e-06,2.1380409389318813e-05,1.9650320168308505e-05,2.5883650118302493e-06,4.076675484162907e-05,0.0003863663155382758,0.0016437853459452605,6.21735623747213e-05,0.00014484218897450323,0.002677927000519434
1513,1.5551060868471156e-05,0.00023326594005901568,2.221580124067308e-06,0.0008519760654336447,4.443160248134616e-06,2.443738136474039e-05,2.2215801240673083e-05,2.962106832089744e-06,4.665318936340055e-05,0.0004420944919953038,0.0018702018703334704,7.109057072814093e-05,0.00016439694945494202,0.003006476909856733
1514,1.5551060868471156e-05,0.00023326594005901568,2.221580124067308e-06,0.0008519760654336447,4.443160248134616e-06,2.443738136474039e-05,2.2215801240673083e-05,2.962106832089744e-06,4.665318936340055e-05,0.0004420944919953038,0.0018702018703334704,7.109057072814093e-05,0.00016439694945494202,0.003006476909856733
1515,1.5551060868471156e-05,0.00023326594005901568,2.221580124067308e-06,0.0008519760654336447,4.443160248134616e-06,2.443738136474039e-05,2.2215801240673083e-05,2.962106832089744e-06,4.665318936340055e-05,0.0004420944919953038,0.0018702018703334704,7.109057072814093e-05,0.00016439694945494202,0.003006476909856733
1516,1.545271461169782e-05,0.0002636725010072143,2.207530658813974e-06,0.0009457757778637728,4.415061317627948e-06,3.07772685878172e-05,2.325611239272647e-05,3.5337771140453287e-06,4.6948553452635804e-05,0.00047432921836558484,0.001967992294466861,9.18954911111302e-05,0.00016808051211632792,0.0032612756737078665
