left,bottom,right,top,area_hex_s,Code,EA_Name,area_sqkm
1195115.11,5005002.334,1206662.12,5015002.338,5.05322,230,"-44.95122, 167.94043",86.333
1195115.11,5015002.338,1206662.12,5025002.343,5.05322,231,"-44.86155, 167.94831",86.333
1195115.11,5025002.343,1206662.12,5035002.348,5.05322,232,"-44.77188, 167.95615",86.333
1195115.11,5035002.348,1206662.12,5045002.352,5.05322,233,"-44.68265, 167.96575",83.204
1195115.11,5045002.352,1206662.12,5055002.357,5.05322,234,"-44.59252, 167.97173",86.333
1195115.11,5055002.357,1206662.12,5065002.362,5.05322,235,"-44.50284, 167.97946",86.333
1195115.11,5065002.362,1206662.12,5075002.366,5.05322,236,"-44.41592, 167.98869",80.369
1195115.11,5075002.366,1206662.12,5085002.371,5.05322,237,"-44.34503, 168.02458",18.524
1195115.11,5085002.371,1206662.12,5095002.376,5.05322,238,"-44.25744, 168.05453",0.016
1203775.368,4760002.219,1215322.379,4770002.224,5.05322,239,"-47.14626, 167.84423",71.415
1203775.368,4770002.224,1215322.379,4780002.229,5.05322,240,"-47.0629, 167.85768",86.348
1203775.368,4780002.229,1215322.379,4790002.233,5.05322,241,"-46.97336, 167.86561",85.295
1203775.368,4790002.233,1215322.379,4800002.238,5.05322,242,"-46.88364, 167.87488",86.348
1203775.368,4800002.238,1215322.379,4810002.243,5.05322,243,"-46.79401, 167.88342",86.348
1203775.368,4810002.243,1215322.379,4820002.247,5.05322,244,"-46.72076, 167.88692",48.905
1203775.368,4830002.252,1215322.379,4840002.257,5.05322,245,"-46.48427, 167.9437",0.002
1203775.368,4840002.257,1215322.379,4850002.261,5.05322,246,"-46.39448, 167.88536",0.036
1203775.368,4850002.261,1215322.379,4860002.266,5.05322,247,"-46.33592, 167.92555",64.691
1203775.368,4860002.266,1215322.379,4870002.271,5.05322,248,"-46.25617, 167.9338",86.348
1203775.368,4870002.271,1215322.379,4880002.275,5.05322,249,"-46.16653, 167.94206",86.348
1203775.368,4880002.275,1215322.379,4890002.28,5.05322,250,"-46.07687, 167.95028",86.348
1203775.368,4890002.28,1215322.379,4900002.285,5.05322,251,"-45.98722, 167.95846",86.348
