Code,proportionToHere,SA22020_V1_00_NAME,SA22020_V1_00_NAME_ASCII,erp96,erp01,erp06,erp13,erp18,a0014,a1539,a4064,a6500,median_age,Eurother,Maori,Pacific,Asian,MELAA,p0014,p1539,p4064,p6500,sex_ratio,pEurother,pMaori,pPacific,pAsian,pMELAA,SHAPE_Length
242600,0.000699931,Maoribank,Maoribank,2600,2510,2650,2920,3430,750,1200,1160,320,34.6,2700,830,250,250,40,22,34.9,34,9.4,104,78.6,24.3,7.3,7.3,1.1,10701.99418
245900,0.000553007,Delaney,Delaney,2440,2480,2520,2520,2710,700,980,790,230,31.2,1570,860,570,220,20,25.8,36.2,29,8.6,102,57.9,31.9,21,8,0.9,8166.476549
242700,0.000206102,Te Marua,Te Marua,870,870,950,990,1010,190,280,420,120,42.3,910,160,50,20,10,19.2,27.6,42,11.5,112,89.5,16.2,4.5,1.7,0.5,17040.06321
242800,0.000416286,Pinehaven,Pinehaven,2020,1920,1890,1940,2040,470,570,780,220,39.5,1930,140,70,80,20,23.1,27.9,38,10.8,102,94.4,7,3.5,3.7,1.1,11445.24654
362100,0.000432611,Georgetown,Georgetown,2170,1980,1940,1990,2120,400,820,630,270,34.6,1720,480,150,150,20,18.9,38.4,30,12.9,98,81.3,22.6,7,7,0.7,4592.611691
242900,0.000483626,Clouston Park,Clouston Park,2170,2080,2160,2140,2370,450,820,700,400,36.8,1910,450,230,160,10,19,34.5,30,16.8,103,80.7,18.8,9.8,6.7,0.6,4617.759261
243000,0.000130599,Upper Hutt Central,Upper Hutt Central,430,390,420,530,640,110,230,240,70,39.3,510,60,40,90,10,16.7,35.4,37,10.5,110,80.2,10.1,6.3,14,1.2,9388.152992
243200,0.000842775,Maungaraki,Maungaraki,3570,3530,3680,3900,4130,870,1370,1370,520,37.6,3110,420,180,870,40,21.1,33.2,33,12.5,98,75.4,10.2,4.4,21.1,0.9,8082.853903
257700,0.000516276,Greytown,Greytown,2030,2110,2150,2300,2530,430,480,870,740,51.4,2380,240,50,60,10,17,19.1,35,29.3,91,94.2,9.5,2.1,2.3,0.4,14359.21164
190000,0,Te More,Te More,,,,,,,,,,,,,,,,,,,,,,,,,,33420.01112
243300,0.000314255,Korokoro,Korokoro,1300,1310,1320,1370,1540,320,520,540,160,37.9,1340,170,30,170,20,20.7,33.8,35,10.2,102,86.8,10.9,2.2,11.2,1.3,7485.802616
243400,0.00059586,Kelson,Kelson,2730,2700,2720,2790,2920,620,1040,990,280,36.2,2260,280,150,500,40,21.3,35.5,34,9.5,98,77.3,9.6,5.1,17.2,1.5,11641.20027
257800,0.000312214,Aorangi Forest,Aorangi Forest,1220,1180,1240,1410,1530,280,350,570,330,46.3,1430,240,20,10,0,18.2,22.9,37,21.6,107,93.3,15.8,1.1,0.9,0.1,244257.2472
198300,0,Inland water Lake Rotorua,Inland water Lake Rotorua,,,,,,,,,,,,,,,,,,,,,,,,,,48116.80252
207500,0,Inland water Lake Waikaremoana,Inland water Lake Waikaremoana,,,,,,,,,,,,,,,,,,,,,,,,,,103565.3693
236200,0,Kapiti Island,Kapiti Island,,,,,,,,,,,,,,,,,,,,,,,,,,28519.57083
243500,0.000422408,Normandale,Normandale,2010,1990,2000,2000,2070,410,670,770,220,38.8,1820,150,70,240,20,19.8,32.3,37,10.7,100,87.8,7.1,3.2,11.3,1.1,6145.335297
243600,0.000569332,Belmont (Lower Hutt City),Belmont (Lower Hutt City),2140,2260,2430,2550,2790,500,950,980,350,38.7,2280,280,100,400,30,18.1,34.2,35,12.4,99,81.8,10,3.7,14.4,1.2,12191.47726
243700,0.000204062,Petone Central,Petone Central,940,880,920,940,1000,180,430,310,70,34.5,690,190,90,180,10,18.4,42.8,31,7.5,114,69.1,19,8.9,18.4,1.3,9604.345666
243900,8.77E-05,Manor Park,Manor Park,260,380,390,400,430,60,120,140,100,44.8,350,50,20,60,0,13.8,29.2,34,23.3,115,81.4,12.4,4.7,13.8,0.7,8743.98714
322800,0.000308133,Wigram West,Wigram West,10,10,50,400,1510,270,670,430,140,35.1,600,60,10,880,50,18,43.9,29,9.5,97,39.3,4,0.6,57.8,3,3132.0191
244000,0.000599941,Alicetown-Melling,Alicetown-Melling,2610,2590,2650,2780,2940,540,1160,970,270,35.4,1970,340,200,690,40,18.4,39.6,33,9.1,105,67.1,11.6,6.9,23.6,1.3,7211.281108
244100,0.00066116,Taita North,Taita North,2760,2980,3150,2660,3240,760,1270,840,370,31.5,1240,770,1120,580,120,23.4,39.3,26,11.3,98,38.3,23.8,34.5,17.9,3.8,5984.931441
