Code,x,AU2013_NAM,area_sqkm,proportionToHere,dens
517800,6.7,Mt Albert Central,1.93587196,0.001535482,3.460972698
517901,7.5,Springleigh,1.06304109,0.001718823,7.055230574
517902,2.2,Owairaka West,0.81915219,0.000504188,2.685703618
517903,4.4,Owairaka East,1.19256363,0.001008376,3.689530596
518101,9.25,Mt Eden North,0.90383347,0.002119882,10.23418617
518102,2.6,Sherbourne,0.86078503,0.000595859,3.020498626
518201,14.75,Balmoral,1.39790227,0.003380353,10.55152446
518202,7.45,Mt Eden East,0.73855422,0.001707365,10.08727565
518301,6.8,Maungawhau,1.01103572,0.0015584,6.725776217
518302,3.1,Mt Eden South,1.10592293,0.000710447,2.803088638
518500,14.5,Three Kings,1.81483622,0.003323059,7.989701682
518600,7.25,Royal Oak,1.55815002,0.001661529,4.652953764
518701,7.4,Hillsborough West,2.03000624,0.001695906,3.645308992
518702,1.1,Hillsborough East,2.16219161,0.000252094,0.508743071
518801,5.75,Walmsley,1.14976183,0.001317765,5.001035736
518802,5.9,Wesley,1.18093826,0.001352141,4.996027481
518803,2.7,Akarana,2.1018123,0.000618776,1.284605671
518901,4.3,Lynfield North,2.06410301,0.000985459,2.083229364
518902,3.25,Lynfield South,1.72953683,0.000744823,1.879115809
519001,0.2,Waikowhai West,1.42599585,4.58E-05,0.140252863
519002,2.7,Waikowhai East,1.40809256,0.000618776,1.917487583
519200,6.25,Mt St John,1.31761327,0.001432353,4.743425209
519300,2.2,One Tree Hill Central,3.05794506,0.000504188,0.719437386
519400,1.7,One Tree Hill East,1.60442181,0.0003896,1.059571734
519500,5.85,Penrose,4.27609054,0.001340682,1.368072061
519710,4.65,Onehunga North West,0.80281577,0.001065671,5.792113426
519720,1.7,Onehunga North East,0.87094743,0.0003896,1.951897372
519810,2.9,Onehunga South West,1.69263717,0.000664612,1.713302798
519820,19.3,Onehunga South East,1.57018218,0.004423106,12.29156734
519900,3.4,Oranga,0.90873386,0.0007792,3.741469477
520000,5.5,Te Papapa,2.52482317,0.00126047,2.178370377
520201,6.95,Ellerslie North,1.71725169,0.001592776,4.047164455
520202,5.9,Ellerslie South,1.34919723,0.001352141,4.372970733
520301,8.7,Mt Wellington Domain,2.39334376,0.001993835,3.635081657
520302,6.6,Mt Wellington West,0.98032544,0.001512565,6.732458152
520303,3.8,Mt Wellington North,1.01809447,0.000870871,3.732463059
520401,2.7,Ferndale,1.64554212,0.000618776,1.640796651
520402,5.5,Hamlin,1.36497612,0.00126047,4.029374521
520500,17.95,Mt Wellington South,6.72669417,0.004113717,2.668472737
520601,7,Tamaki,1.50971839,0.001604235,4.636626305
520602,2.6,Panmure Basin,1.06720652,0.000595859,2.436266975
520801,14.1,Waiheke Island,91.9231859,0.003231388,0.153388939
520900,NA,Islands-Motutapu Rangitoto Rakino,38.4274249,0,NA
521000,6.6,Great Barrier Island,276.577455,0.001512565,0.023863116
521111,1.1,Paerata-Cape Hill,11.6689927,0.000252094,0.09426692
521112,NA,Eden Road-Hill Top,11.8122726,0,NA
521114,NA,Redoubt,8.31491152,0,NA
521115,NA,Opuawhanga,10.7412091,0,NA
521116,0.9,Buckland,0.76993441,0.000206259,1.16893074
521117,NA,Buckland South,19.8353316,0,NA
521121,3.3,Patumahoe,48.9649215,0.000756282,0.067395186
521122,2.8,Kingseat,151.474271,0.000641694,0.018484987
521131,2.6,Pokeno,53.6259219,0.000595859,0.048484015
521132,0.5,Hunua,171.823227,0.000114588,0.002909967
521134,NA,Paparata,22.4327509,0,NA
521135,0.8,Mangatawhiri,313.364434,0.000183341,0.002552938
521136,1.7,Kaiaua,81.332165,0.0003896,0.02090194
521151,1.8,Awhitu,221.324998,0.000412518,0.008132836
521152,0.2,Glenbrook,52.9534716,4.58E-05,0.003776901
521153,NA,Otaua,175.080721,0,NA
521160,0.7,Bombay,14.6256181,0.000160424,0.047861225
521201,1.1,Hingaia,7.43891394,0.000252094,0.147871048
521202,0.3,Whangapouri Creek,15.6445274,6.88E-05,0.019176035
